date,rf_returns
05/01/2004,2.4170620144481347e-05
06/01/2004,2.472533301700608e-05
07/01/2004,2.4159696529357788e-05
08/01/2004,2.4451360185251403e-05
09/01/2004,2.415852214365799e-05
10/01/2004,2.4722922569830885e-05
11/01/2004,4.891861609923609e-05
12/01/2004,2.4165899984662786e-05
13/01/2004,2.3892591764385074e-05
14/01/2004,2.3307625791613162e-05
15/01/2004,2.2469469061148217e-05
16/01/2004,2.1884595815757635e-05
19/01/2004,2.189385615070094e-05
20/01/2004,2.161094446795353e-05
20/01/2004,2.2467495027322926e-05
21/01/2004,2.1054890733118725e-05
21/01/2004,4.9480872993834524e-05
22/01/2004,1.9914067827198068e-05
23/01/2004,2.1335380802733894e-05
26/01/2004,2.2162615562537624e-05
27/01/2004,2.247371840802259e-05
28/01/2004,2.2473213351359433e-05
29/01/2004,2.388455524360289e-05
30/01/2004,2.3309522860337495e-05
31/01/2004,5.005491387222172e-05
04/02/2004,2.3580418866853137e-05
05/02/2004,2.4164004780447e-05
06/02/2004,2.4173156359275083e-05
09/02/2004,2.444515842614514e-05
10/02/2004,2.416224615364726e-05
11/02/2004,2.3889089208584124e-05
11/02/2004,5.570093848761282e-05
12/02/2004,2.4442024879833824e-05
13/02/2004,2.4723706015139513e-05
16/02/2004,2.472309476853063e-05
17/02/2004,2.4995014866968646e-05
18/02/2004,2.5004123149763302e-05
19/02/2004,2.499376518461105e-05
20/02/2004,2.3893364469174116e-05
20/02/2004,2.585871795046657e-05
21/02/2004,5.710765271360607e-05
23/02/2004,2.6138785937268594e-05
24/02/2004,2.6420308593344544e-05
25/02/2004,2.6419610579253572e-05
26/02/2004,2.6418912602022004e-05
27/02/2004,2.6136031152868e-05
04/03/2004,2.668997013399732e-05
05/03/2004,2.6416819148167292e-05
08/03/2004,2.6416121317929253e-05
09/03/2004,2.6697577220291535e-05
10/03/2004,2.6696864478426008e-05
10/03/2004,2.641401314473768e-05
11/03/2004,2.6695446641245013e-05
12/03/2004,2.641261036662179e-05
15/03/2004,2.6139524708534978e-05
16/03/2004,2.64209502724988e-05
17/03/2004,2.55836757550032e-05
18/03/2004,2.5855388013473757e-05
19/03/2004,2.586444666241583e-05
20/03/2004,2.6972642192868435e-05
22/03/2004,2.61354254487145e-05
23/03/2004,2.6416806987450414e-05
24/03/2004,2.641610915787851e-05
25/03/2004,2.642513721662354e-05
26/03/2004,2.6132671126610774e-05
29/03/2004,2.6414023084342375e-05
30/03/2004,2.6695352808747685e-05
30/03/2004,2.642234513117181e-05
31/03/2004,2.613963458264479e-05
05/04/2004,2.6138951320087145e-05
06/04/2004,2.6138268093278683e-05
07/04/2004,2.640985141133534e-05
08/04/2004,2.5582652445343967e-05
09/04/2004,2.5591721288131808e-05
10/04/2004,2.6135557142481503e-05
12/04/2004,2.5580674753999944e-05
13/04/2004,2.5589742946419136e-05
14/04/2004,2.5579365830585843e-05
15/04/2004,2.5578711543072785e-05
16/04/2004,2.5286403272373192e-05
19/04/2004,2.5276042331823234e-05
20/04/2004,2.5858682011214995e-05
20/04/2004,2.585801335697191e-05
21/04/2004,2.558516216133455e-05
22/04/2004,2.2473929148558724e-05
23/04/2004,2.3892593596253064e-05
26/04/2004,2.388230264704916e-05
27/04/2004,2.417332853932308e-05
28/04/2004,2.274395715162747e-05
29/04/2004,2.3307166163499815e-05
30/04/2004,2.275262899531505e-05
04/05/2004,2.3889230942764073e-05
05/05/2004,2.3577660615670126e-05
06/05/2004,2.4169933819040423e-05
07/05/2004,2.444146134439329e-05
10/05/2004,2.416875892774506e-05
11/05/2004,2.4168174812766452e-05
12/05/2004,2.4167590726431598e-05
13/05/2004,2.4167006668074364e-05
14/05/2004,2.3884626797032737e-05
17/05/2004,2.4719706801068497e-05
18/05/2004,2.4728812377805554e-05
19/05/2004,2.471848449348002e-05
20/05/2004,2.4727589650330728e-05
21/05/2004,2.4717262306683807e-05
24/05/2004,2.499840565928224e-05
25/05/2004,2.5590421495413906e-05
26/05/2004,2.5580051469242804e-05
27/05/2004,2.5861129967719165e-05
28/05/2004,2.58604611871327e-05
30/05/2004,2.2751177271462808e-05
31/05/2004,2.585920411357634e-05
04/06/2004,2.6140239988148295e-05
07/06/2004,2.6139556693838273e-05
08/06/2004,2.669253965081886e-05
09/06/2004,2.6691827178071392e-05
10/06/2004,2.811891454967963e-05
10/06/2004,2.6136743147109343e-05
11/06/2004,2.8107676604660625e-05
14/06/2004,2.8388538178658607e-05
15/06/2004,2.8115800542849456e-05
16/06/2004,2.7833374387276066e-05
17/06/2004,2.8104516248017575e-05
18/06/2004,2.7831817512424806e-05
20/06/2004,2.6141370394805463e-05
21/06/2004,2.7840025909053878e-05
22/06/2004,2.896563841181532e-05
23/06/2004,2.8974509383994373e-05
24/06/2004,3.039128242088296e-05
25/06/2004,3.0390358818799257e-05
28/06/2004,3.0389435273114884e-05
29/06/2004,3.0077830512675874e-05
30/06/2004,3.0086634361659037e-05
